name,logo,slug,createdDate,opensea,floorPrice,totalVolume,totalSupply,numOwners,marketCap,hasReport,testResult
Bored Ape Yacht Club,https://lh3.googleusercontent.com/Ju9CkWtV-1Okvf45wo8UctR-M9He2PjILP0oOvxE89AyiPPGtrR3gysu1Zgy0hjd2xKIgjJJtWIc0ybj4Vd7wv8t3pxDGHoJBzDB=s120,boredapeyachtclub,2021-04-22T23:14:03.967121,https://opensea.io/collection/boredapeyachtclub,34.8,199534,10000,5727,430376.2434782609,true,topCollection200.md#bored-ape-yacht-club
Mutant Ape Yacht Club,https://lh3.googleusercontent.com/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI=s120,mutant-ape-yacht-club,2021-08-29T00:41:59.548458,https://opensea.io/collection/mutant-ape-yacht-club,3.8,92942,16465,9791,76237.69750902527,true,topCollection200.md#mutant-ape-yacht-club
Meebits,https://lh3.googleusercontent.com/d784iHHbqQFVH1XYD6HoT4u3y_Fsu_9FZUltWjnOzoYv7qqB5dLUqpGyHBd8Gq3h4mykK5Enj8pxqOUorgD2PfIWcVj9ugvu8l0=s120,meebits,2021-05-03T01:32:41.897161,https://opensea.io/collection/meebits,3.85,73635,20000,5293,95575.73333333332,true,topCollection200.md#meebits
Loot (for Adventurers),https://lh3.googleusercontent.com/g-NFUWjS4IGgym8PHBxyhg5-G_B4x-IHgPKRkxo00JQFE3LOd-95yU2uhrokITVmV7KHEav6OMfAhfJ4roC5hwP-0tI9dMRd9wQLdw=s120,lootproject,2021-08-27T17:48:02.860636,https://opensea.io/collection/lootproject,3.5411,70296,7779,2533,34712.39297195122,true,topCollection200.md#loot-(for-adventurers)
Cool Cats NFT,https://lh3.googleusercontent.com/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8=s120,cool-cats-nft,2021-06-27T09:03:35.403074,https://opensea.io/collection/cool-cats-nft,7.0,52352,9933,4929,83302.65870003078,true,topCollection200.md#cool-cats-nft
CrypToadz by GREMPLIN,https://lh3.googleusercontent.com/iofetZEyiEIGcNyJKpbOafb_efJyeo7QOYnTog8qcQJhqoBU-Vu9l3lXidZhXOAdu6dj4fzWW6BZDU5vLseC-K03rMMu-_j2LvwcbHo=s120,cryptoadz-by-gremplin,2021-09-08T20:07:14.086599,https://opensea.io/collection/cryptoadz-by-gremplin,4.32,43862,7025,3520,40734.56290609756,true,topCollection200.md#cryptoadz-by-gremplin
0N1 Force,https://lh3.googleusercontent.com/7gOej3SUvqALR-qkqL_ApAt97SpUKQOZQe88p8jPjeiDDcqITesbAdsLcWlsIg8oh7SRrTpUPfPlm12lb4xDahgP2h32pQQYCsuOM_s=s120,0n1-force,2021-08-15T14:16:38.196274,https://opensea.io/collection/0n1-force,0.99,43724,7775,4229,9310.75490313252,true,topCollection200.md#0n1-force
MekaVerse,https://lh3.googleusercontent.com/6CS0frnjPEpvJ8hE3OG6_TbJFEC5YYThnZMdLTTmW-Z91lyYAJkPA7-ou2uE-b_J-cBUBeqWkI4HYKHEiu2PAyCT6wkYKzoeCyuy=s120,mekaverse,2021-10-07T20:29:17.017760,https://opensea.io/collection/mekaverse,1.09,41083,8888,5154,13052.911483530304,true,topCollection200.md#mekaverse
Pudgy Penguins,https://lh3.googleusercontent.com/bcCd1TfusKK6wWjmshwmizmY9j7An3pp9kxopMxfIt-_I8WFnSIK-5gevOduoYK4Qpq2e3DyXgROKNfkP396W5ViEYXhxoyAZG3s_vY=s120,pudgypenguins,2021-07-22T12:48:58.239929,https://opensea.io/collection/pudgypenguins,1.3,41033,8887,4706,15799.159548860669,true,topCollection200.md#pudgy-penguins
Hashmasks,https://lh3.googleusercontent.com/6X867ZmCsuYcjHpx-nmNkXeHaDFd2m-EDEEkExVLKETphkfcrpRJOyzFxRQlc-29J0e-9mB9uDGze0O9yracSA9ibnQm2sIq5i2Yuw=s120,hashmasks,2021-01-28T15:01:12.705115,https://opensea.io/collection/hashmasks,1.1,39886,16382,5015,25167.378808108107,true,topCollection200.md#hashmasks
PUNKS Comic,https://lh3.googleusercontent.com/ejZNFaWsdUnmzbafD0TRf0RoIX9NiyaCRii_j7PhCnYa8CBW2SzGEjn3RDg4k3gYvFY8T5_cosCj7ozT69zELByZ5OvqoaWCi1LrJG0=s120,punks-comic,2021-05-11T01:08:43.634595,https://opensea.io/collection/punks-comic,2.67,38888,9216,3331,36625.78453447559,true,topCollection200.md#punks-comic
Bored Ape Kennel Club,https://lh3.googleusercontent.com/l1wZXP2hHFUQ3turU5VQ9PpgVVasyQ79-ChvCgjoU5xKkBA50OGoJqKZeMOR-qLrzqwIfd1HpYmiv23JWm0EZ14owiPYaufqzmj1=s120,bored-ape-kennel-club,2021-06-18T21:32:25.355263,https://opensea.io/collection/bored-ape-kennel-club,1.75,34777,9602,4915,20742.555465625,true,topCollection200.md#bored-ape-kennel-club
My Curio Cards,https://lh3.googleusercontent.com/xNW1W9O2CYUNGS2GeHqv9yHw-wLdSb9uVoc51TL5GSp8yvC2en45pqp5zYFHhRGHZpgHJdagD2QELXwpu01frltG7Nl055aVqDTDSg=s120,curiocardswrapper,2021-03-28T17:58:36.404282,https://opensea.io/collection/curiocardswrapper,0.398,32200,30,4334,22.689155357142322,true,topCollection200.md#my-curio-cards
CyberKongz,https://lh3.googleusercontent.com/LIpf9z6Ux8uxn69auBME9FCTXpXqSYFo8ZLO1GaM8T7S3hiKScHaClXe0ZdhTv5br6FE2g5i-J5SobhKFsYfe6CIMCv-UfnrlYFWOM4=s120,cyberkongz,2021-04-16T19:57:15.677123,https://opensea.io/collection/cyberkongz,6.83,31320,4188,1807,50572.61014936709,true,topCollection200.md#cyberkongz
